Artist ID,Album ID,Album URL,Album date,Video link
Idol-19-nana,2020-pretty-error,/musicalbum/2020-pretty-error,200204,btle81tlyH4
Idol-19-nana,2020-bunny-401,/musicalbum/2020-bunny-401,200812,-zEbliYcH_U
Idol-1il,2020-kurt-coba1il,/musicalbum/2020-Kurt-Coba1il,201203,7ACgybLzSHQ
Idol-20-years-of-age,2020-closer-me-before-you,/musicalbum/2020-Closer-Me-Before-You,201228,NvHrNVR3BL8
Idol-aalia,2020-love-kills-hate,/musicalbum/2020-LOVE-KILLS-HATE,200710,J8xkKO8vphY
Idol-aalia,2020-my-blue-moon,/musicalbum/2020-My-Blue-Moon,200903,PAYLoD3kPbQ
Idol-ailee,2020-good-girl-episode-4,/musicalbum/2020-GOOD-GIRL-Episode-4,200626,SLjSuJ0snUY
Idol-ailee,2020-i-m,/musicalbum/2020-I-m,201006,hcjxwEDmhQA
Idol-ailee,2020-sweater-orchestral-version,/musicalbum/2020-Sweater-Orchestral-Version,201204,rWaCFSlcLUM
Idol-ailee,2020-start-up-pt-9,/musicalbum/2020-Start-Up-Pt-9,201108,IDqk2zS-uvk
Idol-ailee,2020-silent-night,/musicalbum/2020-Silent-Night,201204,j0PXzE4q650
Idol-ailee,2020-what-about-you-with-ravi,/musicalbum/2020-What-About-You-with-Ravi,200428,nl61udARWcw
Idol-ailee,2020-me-me-we-feat-aizat-amdan-chillies-paam-quest-rahmania-astrini,/musicalbum/2020-ME-ME-WE-feat-Aizat-Amdan-Chillies-PAAM-Quest-Rahmania-Astrini,200730,7IUhE9L6bvI
Idol-ailee,2020-third-han-river-bridge,/musicalbum/2020-Third-Han-River-Bridge,200204,102ytPXd9tE
Idol-ailee,2020-a-farewell-story-with-jung-seung-hwan,/musicalbum/2020-A-Farewell-Story-with-Jung-Seung-Hwan,200129,G1QwAQRZ0fc
Idol-alice2,2020-as-you-saw-me-today,/musicalbum/2020-As-you-saw-me-today,200417,FEl1GH6Rclg
Idol-alice2,2020-horizon,/musicalbum/2020-horizon,201019,JbXilqNIr6k
Idol-alisha,2020-used-to,/musicalbum/2020-Used-To,200412,vB-5JEjHtic
Idol-alisha,2020-forget-me-not,/musicalbum/2020-Forget-Me-Not,200507,DBVq5DCinPo
Idol-alisha,2020-paradise4,/musicalbum/2020-Paradise4,200620,lcz-BIwV26A
Idol-alisha,2020-baby-blue,/musicalbum/2020-baby-blue,200908,tqV46ytJwQU
Idol-amber,2020-x3,/musicalbum/2020-X3,200117,ZTtnVES4EVk
Idol-amin,2020-seeping,/musicalbum/2020-Seeping,200513,UvDPjSJ2Nxg
Idol-amin,2020-today,/musicalbum/2020-Today,200815,Uu6cb6OJ9sE
Idol-amin,2020-see-you-later,/musicalbum/2020-See-you-later,200927,jAEp7cwv0sY
Idol-an-da-eun,2020-i-was-young-and-i-wanted-to-say-i-was-sorry,/musicalbum/2020-I-Was-Young-And-I-Wanted-To-Say-I-Was-Sorry,201121,W7d4YikZbiM
Idol-an-shinae,2020-long-tail-music-project-vol-3,/musicalbum/2020-Long-Tail-Music-Project-Vol-3,201217,7-SyQqGYQJg
Idol-annyeong,2020-i-can-t-breath,/musicalbum/2020-I-Can-t-Breath,200222,QYn5JwHlydg
Idol-annyeong,2020-i-want-you-to-stay,/musicalbum/2020-I-Want-You-To-Stay,201219,Wsdf1Z7GKNM
