Artist ID,Album ID,Album URL,Album date,Video link
Idol-19-nana,2021-coco,/musicalbum/2021-coco,210723,IZ6xMvuL4BQ
Idol-19-nana,2021-back-light,/musicalbum/2021-back-light,210222,R-kmFLYGMx4
Idol-19-nana,2021-we-build-sand-castles-on-earth,/musicalbum/2021-we-build-sand-castles-on-Earth,210108,Ssm3BYWKmQU
Idol-1il,2021-turn-on-netflix,/musicalbum/2021-Turn-On-Netflix,210217,ttkBYuXq74g
Idol-20-years-of-age,2021-now-we-are-breaking-up-ost-pt-1,/musicalbum/2021-Now-We-Are-Breaking-Up-OST-Pt-1,211112,tcgxj0xPYL8
Idol-99honest,2021-blue-day,/musicalbum/2021-Blue-Day,210915,DeHy-Ts8IjA
Idol-aalia,2021-all-i-see-is-you,/musicalbum/2021-All-I-see-is-you,210821,XynbJWcqumE
Idol-aalia,2021-vincenzo-pt-5,/musicalbum/2021-Vincenzo-Pt-5,210404,ifaNT-52p0c
Idol-adora,2021-make-u-dance,/musicalbum/2021-Make-U-Dance,211105,KfPfBOHQn4M
Idol-ahin,2021-okay-feat-ahin-of-momoland,/musicalbum/2021-Okay-Feat-Ahin-Of-MOMOLAND,210903,muEU3pxZypI
Idol-aiai,2021-love-n-headache,/musicalbum/2021-Love-N-Headache,210805,O_aPyIyqbd4
Idol-ailee,2021-a-way-station,/musicalbum/2021-A-Way-Station,210208,XEnfE6JbI8U
Idol-ailee,2021-sisyphus-pt-3,/musicalbum/2021-Sisyphus-Pt-3,210311,0XR82WI34mo
Idol-ailee,2021-breaking-down,/musicalbum/2021-Breaking-Down,210517,etTQKmwKxNQ
Idol-ailee,2021-starting-now,/musicalbum/2021-Starting-Now,210612,_hy8FsPd_5o
Idol-ailee,2021-cyworld-bgm-2021,/musicalbum/2021-Cyworld-BGM-2021,210724,BNTlul0Cu1g
Idol-ailee,2021-lovers-of-the-red-sky-ost-pt-4,/musicalbum/2021-Lovers-of-the-Red-Sky-OST-Pt-4,210927,4nWRNJbdHoA
Idol-ailee,2021-amy,/musicalbum/2021-Amy,211027,jNhJ64oJOhY
Idol-ailee,2021-for-all-time-original-soundtrack,/musicalbum/2021-For-All-Time-Original-Soundtrack,211110,gyl13i5o1UI
Idol-ailee,2021-solo-christmas-with-whee-in,/musicalbum/2021-Solo-Christmas-with-Whee-In,211211,XiyqIsBy-Ls
Idol-ailee,2021-lovin,/musicalbum/2021-Lovin,210507,WGfDdIaNcDg
Idol-ailee,2021-pgi-s-2021-main-theme-song-pubg-4th-anniversary,/musicalbum/2021-PGI-S-2021-Main-Theme-Song-PUBG-4th-Anniversary,210323,xg-Y_GkxLdg
Idol-alice2,2021-color-edition-purple-1,/musicalbum/2021-COLOR-Edition-PURPLE-1,210628,NoUbnRSCj5I
Idol-alice2,2021-color-edition-purple-2,/musicalbum/2021-COLOR-Edition-PURPLE-2,210721,LmHkeie8RtU
Idol-alice2,2021-color-edition-purple-3,/musicalbum/2021-COLOR-Edition-PURPLE-3,210824,M7VXt0ghYnY
Idol-alice2,2021-color-edition-purple-4,/musicalbum/2021-COLOR-Edition-PURPLE-4,210927,fKVnqzU4niI
Idol-alice2,2021-color-edition-purple-5,/musicalbum/2021-COLOR-Edition-PURPLE-5,211025,m9nDSyW6BdU
Idol-alice2,2021-color-edition-purple-6,/musicalbum/2021-COLOR-Edition-PURPLE-6,211112,mGsnfQkEcNk
Idol-alice2,2021-alice-color-edition-purple,/musicalbum/2021-ALICE-COLOR-Edition-PURPLE,211216,
Idol-alisha,2021-he-mad,/musicalbum/2021-He-Mad,210926,gC9Q1-YI5Ns
Idol-amber,2021-y,/musicalbum/2021-y,210507,SBWhk4SJhak
Idol-amin,2021-daebak-real-estate-ost-part-9,/musicalbum/2021-Daebak-Real-Estate-OST-part-9,210602,hXHKbmashEE
Idol-amin,2021-spring,/musicalbum/2021-Spring,210303,q1VWUDCZyUw
Idol-amin,2021-pit-a-pat,/musicalbum/2021-Pit-A-Pat,211123,DVjCSkGgpLA
Idol-an-da-eun,2021-the-king-s-affection-ost-pt-4,/musicalbum/2021-The-King-s-Affection-OST-Pt-4,211102,eNA_7Nru5p8
Idol-an-da-eun,2021-singagain2-battle-of-the-unknown-ep-4,/musicalbum/2021-SingAgain2-Battle-of-the-Unknown-Ep-4,211228,tkIMAAWr2nk
Idol-annyeong,2021-why-am-i-like-this,/musicalbum/2021-Why-Am-I-Like-This,210227,L97SKVcBzNs
Idol-annyeong,2021-moving-away,/musicalbum/2021-Moving-Away,211013,lTjjjB3E1nU
Idol-aquinas,2021-it-doesn-t-matter,/musicalbum/2021-It-Doesn-t-Matter,210709,rwPTSHv6mFI
Idol-ash-b,2021-brat-of-the-year,/musicalbum/2021-Brat-Of-The-Year,210822,wbWYoVQkQG4
Idol-ash-b,2021-santa-baby,/musicalbum/2021-Santa-Baby,211212,SHHG34DOGlg
Idol-ash-island,2021-island,/musicalbum/2021-ISLAND,210305,-Nx0E5MDIM8
Idol-ash-island,2021-carabiner,/musicalbum/2021-Carabiner,210709,iN2EgMckDZA
Idol-ash-island,2021-crime-puzzle-ost,/musicalbum/2021-Crime-Puzzle-OST,211112,QJ9GxL9XJpY
Idol-ash-island,2021-melody,/musicalbum/2021-Melody,210225,
Idol-ash-island,2021-more-island,/musicalbum/2021-More-Island,210505,H2PByGyfQ1I
Idol-ash-island,2021-play,/musicalbum/2021-Play,211001,Hq0A8TUCNr8
Idol-avokid,2021-rip,/musicalbum/2021-RIP,210811,Ij8KsMP_rdc
Idol-avokid,2021-hate-you-feat-jayci-yucca,/musicalbum/2021-Hate-You-feat-Jayci-yucca,210413,84mREjwAhmY
